taxon_name,clean_name,action
?Ilex sp,Ilex,update
A. tubuliflorae,Asteroideae,update
Abelia,Abelia,update
Abies,Abies,update
ABIES,Abies,update
Abies alba,Abies alba,update
Abies cilicica,Abies cilicica,update
Abies fargesii,Abies fargesii,update
Abies marocana,Abies pinsapo subsp marocana ,update
Abies maroccana,Abies pinsapo subsp marocana ,update
Abies nordmanniana,Abies nordmanniana,update
Abies or Picea,Pinaceae,update
Abies pinsapo,Abies pinsapo,update
Abies pinsapo subsp marocana,Abies pinsapo subsp marocana,update
Abies pinsapo subsp marocana ,Abies pinsapo subsp marocana,update
Abies sibirica,Abies sibirica,update
Abrus,Abrus,update
Abutilon,Abutilon,update
Acacia,Acacia,update
ACACIA,Acacia,update
Acacia confusa,Acacia confusa,update
Acacia ehrenbergiana-type,Vachellia flavens type,update
Acacia groupe III,Acacia,update
Acacia mellifera-type,Senegalia mellifera type,update
Acacia nilotica-type,Vachellia nilotica type,update
Acacia polyacantha-type,Senegalia polyacantha type,update
Acacia seyal-type,Vachellia seyal type,update
Acacia sp,Acacia,update
Acacia tortilis-type,Vachellia tortilis type,update
Acacia type1,Acacia type,update
Acacia/Parkia,Acacia/Parkia,update
Acalypha,Acalypha,update
Acalypha ciliata-type,Acalypha ciliata type,update
Acalypha crenata-type,Acalypha crenata type,update
Acalypha-type,Acalypha type,update
Acanthaceae,Acanthaceae,update
Acanthaceae undiff.,Acanthaceae,update
Acantholimon,Acantholimon,update
Acanthus,Acanthus,update
Acanthus ilicifolius,Acanthus ilicifolius,update
Acanthus mollis,Acanthus mollis,update
Acanthus-type,Acanthus type,update
Acanthus-type pubescens,Acanthus polystachyus type,update
Acardiaceae,Anacardiaceae,update
Acer,Acer,update
ACER,Acer,update
Acer campestre,Acer campestre,update
Acer campestre type,Acer campestre type,update
Acer pseudoplatanus,Acer pseudoplatanus,update
Acer turkestanica,Acer turkestanica,update
Acer type,Acer type,update
Aceraceae,Sapindaceae,update
Achillea,Achillea,update
Achillea /Eupatorium tp.,Achillea/Eupatorium type,update
Achillea T,Achillea type,update
Achillea type,Achillea type,update
Achillea-type,Achillea type,update
Achillea/Anthemis type,Achillea/Anthemis type,update
Achillea/Aster,Achillea/Aster,update
Achillea/Aster type,Achillea/Aster type,update
Achillea/Eupatorium type,Achillea/Eupatorium type,update
Achillia,Achillea,update
Achyranthes,Achyranthes,update
Achyranthes aspera type,Achyranthes aspera type,update
Achyranthes-type,Achyranthes type,update
Achyranthes-type aspera,Achyranthes aspera type,update
Aconitum,Aconitum,update
Aconitum napellus type,Aconitum napellus type,update
Aconitum septentrionale,Aconitum septentrionale,update
Aconitum T,Aconitum type,update
Aconitum type,Aconitum type,update
Aconitum-group,Aconitum type,update
Aconogonon,Koenigia/Persicaria/Polygonum,update
Acridocarpus,Acridocarpus,update
Acronychia,Acronychia,update
Acrostichum aureum,Acrostichum aureum,update
Actaea,Actaea,update
Actinidia,Actinidia,update
Actinidia chinensis var deliciosa,Actinidia chinensis var deliciosa,update
Actiniopteris radiata-type,Actiniopteris radiata type,update
Actinostemma-Gynostemma,Actinostemma/Gynostemma,update
Actinostemma/Gynostemma,Actinostemma/Gynostemma,update
Adansonia,Adansonia,update
Adansonia digitata,Adansonia digitata,update
Adenandra,Adenandra,update
Adenanthera,Adenanthera,update
Adenia,Adenia,update
Adenia lobata-type,Adenia lobata type,update
Adenium obesum-type,Adenium obesum type,update
Adenodolichos-type,Adenodolichos type,update
Adenopodia scelerata-type,Adenopodia scelerata type,update
Adenorandia-type kalbreyeri,Adenorandia kalbreyeri type,update
Adenostyles type,Adenostyles type,update
Adi,Adina,update
Adianthum,Adiantum,update
Adiantum,Adiantum,update
Adiantum capillus-veneris,Adiantum capillus-veneris,update
Adina,Adina,update
Adinandra,Adinandra,update
Adonis,Adonis,update
Adonis aestivalis,Adonis aestivalis,update
Adonis aestivalis type,Adonis aestivalis type,update
Adonis annua type,Adonis annua type,update
Adonis type,Adonis type,update
Adonis vernalis,Adonis vernalis,update
Adoxa,Adoxa,update
Adoxa moschatellina,Adoxa moschatellina,update
Adoxa moschatellina type,Adoxa moschatellina type,update
Adoxaceae,Viburnaceae,update
Aegiceras,Aegiceras,update
Aegopodium,Aegopodium,update
Aegopodium podagraria,Aegopodium podagraria,update
Aegopodium type,Aegopodium type,update
Aellenia type,Aellenia type,update
Aerva javanica type,Aerva javanica type,update
Aerva type,Aerva type,update
Aerva-type,Aerva type,update
Aerva-type javanica,Aerva javanica type,update
Aerva-type lanata,Ouret lanata type,update
Aeschynanthus,Aeschynanthus,update
Aeschynomene,Aeschynomene,update
Aeschynomene afraspera-type,Aeschynomene afraspera type,update
Aeschynomene baumii-type,Aeschynomene baumii type,update
Aeschynomene elaphroxylon-type,Aeschynomene elaphroxylon type,update
Aeschynomene-type baumii,Aeschynomene baumii type,update
Aesculus,Aesculus,update
AESCULUS,Aesculus,update
Aesculus chinensis var wilsonii,Aesculus chinensis var wilsonii,update
Aesculus h,Aesculus hippocastanum,update
Aesculus hippocastaneum,Aesculus hippocastanum,update
Aesculus hippocastanum,Aesculus hippocastanum,update
Aesculus wilsonii,Aesculus chinensis var wilsonii,update
Aethusa cynapium type,Aethusa cynapium type,update
Aethusa cynapium-type,Aethusa cynapium type,update
Afraegle-type paniculata,Afraegle paniculata type,update
Afrocrania,Cornus,update
Afrocrania volkensii,Cornus volkensii,update
Afzelia,Afzelia,update
Afzelia africana-type,Afzelia africana type,update
Aganosma,Aganosma,update
Agavaceae undiff.,Asparagaceae,update
Aglaia,Aglaia,update
Agrimonia,Agrimonia,update
Agrimonia type,Agrimonia type,update
Agrocharis,Daucus,update
Agrostemma,Agrostemma,update
Agrostemma githago,Agrostemma githago,update
Aidia,Aidia,update
Aidia henryi,Aidia henryi,update
Aidia-type,Aidia type,update
Aidia-type micrantha,Aidia micrantha type,update
Ailanthus,Ailanthus,update
AILANTHUS,Ailanthus,update
Ailanthus altissima,Ailanthus altissima,update
Aizoaceae,Aizoaceae,update
Aizoaceae undiff.,Aizoaceae,update
Aizoaceae-type,Aizoaceae,update
Aizoon canariense-type,Aizoon canariense type,update
Ajania,Ajania,update
Ajuga,Ajuga,update
Ajuga type,Ajuga type,update
Akebia,Akebia,update
Alafia-type,Alafia type,update
Alangiaceae,Cornaceae,update
Alangium,Alangium,update
Alangium chinense,Alangium chinense,update
Albizia,Albizia,update
Albizia-type,Albizia type,update
Alchemilla,Alchemilla,update
ALCHEMILLA,Alchemilla,update
Alchemilla G,Alchemilla type,update
Alchemilla pentaphylla,Alchemilla pentaphylla,update
Alchemilla pentaphylla type,Alchemilla pentaphylla type,update
Alchemilla pentaphyllea,Alchemilla pentaphylla,update
Alchemilla type,Alchemilla type,update
Alchemilla-type,Alchemilla type,update
Alchornea,Alchornea,update
Alchornea cf latifolia,Alchornea latifolia type,update
Alchornea cordifolia-type,Alchornea cordifolia type,update
Alchornea sp,Alchornea,update
Alhagi,Alhagi,update
Alkanna,Alkanna,update
Alkanna type,Alkanna type,update
Allanblackia,Allanblackia,update
Alliaceae,Amaryllidaceae,update
Allium,Allium,update
Allium p.p,Allium,update
Allium type,Allium type,update
Allium ursinum T,Allium ursinum type,update
Allium ursinum type,Allium ursinum type,update
Allium vin,Allium vineale,update
Allium vineale,Allium vineale,update
Allium-type,Allium type,update
Allomorphia,Oxyspora,update
Allophylus,Allophylus,update
Allophylus abyssinicus type,Allophylus abyssinicus type,update
Allophylus abyssinicus-type,Allophylus abyssinicus type,update
Allophylus africanus-type,Allophylus africanus type,update
Alnaster,Alnus,update
"Alnaster (Alnus shrub type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)",Alnus alnobetula/Alnus maximowiczii,update
Alnus,Alnus,update
ALNUS,Alnus,update
ALNUS  incana,Alnus incana,update
Alnus alnobetula,Alnus alnobetula,update
Alnus alnobetula subsp crispa,Alnus alnobetula subsp crispa,update
Alnus alnobetula subsp fruticosa,Alnus alnobetula subsp fruticosa,update
Alnus cf. A. incana,Alnus incana type,update
Alnus fruticosa,Alnus alnobetula,update
Alnus fruticosa type,Alnus alnobetula type,update
Alnus glutinosa,Alnus glutinosa,update
Alnus glutinosa T,Alnus glutinosa type,update
Alnus glutinosa type,Alnus glutinosa type,update
Alnus glutinosa-type,Alnus glutinosa type,update
Alnus glutinosa/A. incana,Alnus glutinosa/Alnus incana,update
Alnus glutinosa/Alnus incana,Alnus glutinosa/Alnus incana,update
Alnus hirsuta,Alnus hirsuta,update
Alnus incana,Alnus incana,update
Alnus incana subsp. hirsuta,Alnus hirsuta,update
Alnus incana type,Alnus incana type,update
Alnus incana/A. glutinosa,Alnus glutinosa/Alnus incana,update
Alnus incana/Alnus cordata type,Alnus incana/Alnus cordata type,update
Alnus incana/cordata type,Alnus incana/Alnus cordata type,update
ALNUS indiff.,Alnus,update
Alnus non-viridis,Alnus,update
Alnus type,Alnus type,update
Alnus undiff.,Alnus,update
Alnus undifferentiated,Alnus,update
Alnus viridis,Alnus alnobetula,update
ALNUS viridis,Alnus alnobetula,update
Alnus viridis subsp fruticosa,Alnus alnobetula subsp fruticosa,update
Alnus viridis subsp. crispa,Alnus alnobetula subsp crispa,update
Alnus viridis subsp. crispa type,Alnus alnobetula subsp crispa type,update
Alnus viridis subsp. fruticosa,Alnus alnobetula subsp fruticosa,update
Alnus viridis subsp. fruticosa type,Alnus alnobetula subsp fruticosa type,update
Alnus5p,Alnus,update
Alocasia,Alocasia,update
Aloe type,Aloe type,update
Aloe-type,Aloe type,update
Alopecurus,Alopecurus,update
Alstonia-type,Alstonia type,update
Alstonia-type boonei,Alstonia boonei type,update
Alstonia-type congensis,Alstonia congensis type,update
Alternanthera,Alternanthera,update
Alternthera,Alternanthera,update
Altingia,Liquidambar,update
Altingiaceae,Altingiaceae,update
Alyxia,Alyxia,update
Amanoa-type,Amanoa type,update
Amar.-Chenop.,Amaranthaceae,update
Amaranth/Chenopod,Amaranthaceae,update
Amaranthaceae,Amaranthaceae,update
Amaranthaceae type,Amaranthaceae,update
Amaranthaceae undiff.,Amaranthaceae,update
Amaranthaceae/Chenop,Amaranthaceae,update
Amaranthaceae/Chenopod,Amaranthaceae,update
Amaranthaceae/Chenopodiaceae,Amaranthaceae,update
Amaranthaceae/Chenopodiaceae undiff.,Amaranthaceae,update
Amaranthaceae+Chenopodiaceae,Amaranthaceae,update
Amaranthus,Amaranthus,update
Amaranthus-type,Amaranthus type,update
Amaryllidaceae,Amaryllidaceae,update
Amaryllidaceae undiff.,Amaryllidaceae,update
Ambrosia,Ambrosia,update
Ambrosia artemisiifolia type,Ambrosia artemisiifolia type,update
Ambrosia maritima,Ambrosia maritima,update
Ambrosia t.,Ambrosia type,update
Ambrosia type,Ambrosia type,update
AMBROSIA type,Ambrosia type,update
Ambrosia type: Xanthium,Xanthium,update
Ambrosia-type,Ambrosia type,update
Ambrosia-type maritima,Ambrosia maritima type,update
Ambrosia/Xanthium,Ambrosia/Xanthium,update
Ambrosieae,Asteroideae,update
Ammannia-type,Ammannia type,update
Ammannia-type prieureana,Ammannia prieureana type,update
Ammi,Ammi,update
Ammi type,Ammi type,update
Amorpha fruticosa,Amorpha fruticosa,update
Ampelocissus-type,Ampelocissus type,update
Amphimas,Amphimas,update
Amygdaloideae,Amygdaloideae,update
Amygdalus,Amygdalus,update
Anabasis,Anabasis,update
Anacardiaceae,Anacardiaceae,update
Anacardiaceae undiff.,Anacardiaceae,update
Anacardiaceae..other.,Anacardiaceae,update
Anacardium occidentale,Anacardium occidentale,update
Anacolosa uncifera,Anacolosa uncifera,update
Anagallis,Anagallis,update
Anagallis arvensis,Anagallis arvensis,update
Anagallis arvensis type,Anagallis arvensis type,update
Anagallis tenella,Anagallis tenella,update
Anagallis tenella type,Anagallis tenella type,update
Anagallis type,Anagallis type,update
Anchomanes-type,Anchomanes type,update
Anchusa,Anchusa,update
Anchusa arvensis,Anchusa arvensis,update
Anchusa officinalis,Anchusa officinalis,update
Anchusa type,Anchusa type,update
Anchusa-type,Anchusa type,update
Ancistrophyllum seclorum,Ancistrophyllum secundiflorum,update
Andrachne,Andrachne,update
Andrachne telephioides,Andrachne telephioides,update
Androcymbium,Colchicum,update
Andromeda,Andromeda,update
Androsace,Androsace,update
Androsace elongata type,Androsace elongata,update
Androsace type,Androsace type,update
Androsaceae,Androsaceae,update
Aneilema-type,Aneilema type,update
Anemia sp.,Anemia,update
Anemia-type,Anemia type,update
Anemone,Anemone,update
Anemone hortensis,Anemone hortensis,update
Anemone ne,Anemone nemorosa,update
Anemone nemorosa,Anemone nemorosa,update
Anemone nemorosa type,Anemone nemorosa type,update
Anemone nemorosa type/Hepatica nobilis,Anemone nemorosa type/Hepatica nobilis,update
Anemone nemorosa-type,Anemone nemorosa type,update
Anemone nemorosa/Anemone ranunculoides,Anemone nemorosa/Anemone ranunculoides,update
Anemone nemorosa/ranunculoides,Anemone nemorosa/Anemone ranunculoides,update
Anemone typ,Anemone type,update
Anemone type,Anemone type,update
Anemone/Clematis type,Anemone/Clematis type,update
Anemone/Pulsatilla type,Anemone/Pulsatilla type,update
Anethum,Anethum,update
Anethum graveolens,Anethum graveolens,update
Anethum type,Anethum type,update
Angelica,Angelica,update
Angelica archangelica,Angelica archangelica,update
Angelica s,Angelica sylvestris,update
Angelica sylvestris,Angelica sylvestris,update
Angelica tp.,Angelica type,update
Angelica type,Angelica type,update
Angylocalyx-type,Angylocalyx type,update
Aniseia martinicensis,Aniseia martinicensis,update
Anisosciadium type,Anisosciadium type,update
Anisotes,Anisotes,update
Annona,Annona,update
Annona senegalensis-type,Annona senegalensis type,update
Annonaceae,Annonaceae,update
Annonaceae undiff.,Annonaceae,update
Anodendron,Anodendron,update
Anogeissus-type leiocarpus,Anogeissus leiocarpus type,update
Anogramma leptophylla,Anogramma leptophylla,update
Anopyxis,Anopyxis,update
Anopyxis klaineana,Anopyxis klaineana,update
Antennaria,Antennaria,update
Antennaria type,Antennaria type,update
Anthemidae,Asteroideae,update
Anthemideae,Asteroideae,update
Anthemideae undiff.,Asteroideae,update
Anthemis,Anthemis,update
Anthemis  type,Anthemis type,update
Anthemis arvensis type,Anthemis arvensis type,update
Anthemis t,Anthemis type,update
Anthemis typ,Anthemis type,update
Anthemis type,Anthemis type,update
Anthemis-type,Anthemis type,update
Anthemis/Achillea type,Achillea/Anthemis type,update
Anthericum,Anthericum,update
Anthericum type,Anthericum type,update
Anthericum-type,Anthericum type,update
Anthocleista,Anthocleista,update
Anthocleista grandiflora-type,Anthocleista grandiflora type,update
Anthocleista sp,Anthocleista,update
Anthocleista vogelii-type,Anthocleista vogelii type,update
Anthonota,Anthonotha,update
Anthonotha sp,Anthonotha,update
Anthonotha-type,Anthonotha type,update
Anthospermum,Anthospermum,update
Anthospermum-type,Anthospermum type,update
Anthostema,Anthostema,update
Anthostema-type,Anthostema type,update
Anthostema-type senegalense,Anthostema senegalense type,update
Anthoxanthum,Anthoxanthum,update
Anthriscus,Anthriscus,update
Anthriscus sylvestris,Anthriscus sylvestris,update
Anthriscus sylvestris type,Anthriscus sylvestris type,update
Anthriscus sylvestris-type,Anthriscus sylvestris type,update
Anthriscus type,Anthriscus type,update
Anthyllis,Anthyllis,update
Antiaris,Antiaris,update
Antiaris toxicaria/Milicia,Antiaris toxicaria/Milicia,update
Antiaris-type toxicaria,Antiaris toxicaria type,update
Antidesma,Antidesma,update
Antidesma sp,Antidesma,update
Antidesma venosum,Antidesma venosum,update
Antidesma-type,Antidesma type,update
Antidesma-type venosum,Antidesma venosum type,update
Antiotrema,Antiotrema,update
Antirrhinum type,Antirrhinum type,update
Antirrhinum/Linaria,Antirrhinum/Linaria,update
Antrocaryon-type,Antrocaryon type,update
Aphanamixis,Aphanamixis,update
Aphananthe/Celtis,Aphananthe/Celtis,update
Aphanes,Alchemilla,update
Aphanes type,Alchemilla type,update
Aphania-type senegalensis,Lepisanthes senegalensis type,update
Aphloia theiformis,Aphloia theiformis,update
Apiaceae,Apiaceae,update
APIACEAE,Apiaceae,update
Apiaceae c,Apiaceae,update
Apiaceae indet.,Apiaceae,update
Apiaceae small,Apiaceae,update
Apiaceae types 2&3,Apiaceae,update
Apiaceae u,Apiaceae,update
Apiaceae undiff.,Apiaceae,update
Apiaceae undifferentiated,Apiaceae,update
"Apiaceae, Astoma",Astomaea ,update
"Apiaceae, Bupleurum",Bupleurum,update
"Apiaceae, Eryngium",Eryngium,update
"Apiaceae, Ferula",Ferula,update
"Apiaceae, Heracleum",Heracleum,update
"Apiaceae, Pimpinella",Pimpinella,update
"Apiaceae, Torilis type",Torilis type,update
Apium inundatum type,Apium inundatum type,update
Apium inundatum-type,Apium inundatum type,update
Apium type,Apium type,update
Apium-type,Apium type,update
Apium/Berula,Apium/Berula,update
Apocynaceae,Apocynaceae,update
Apocynaceae undiff.,Apocynaceae,update
Apocynaceae..other.,Apocynaceae,update
Apocynum,Apocynum,update
Apodytes,Apodytes,update
Apodytes dimidiata,Apodytes dimidiata,update
Aporosa,Aporosa,update
Aporrhiza,Aporrhiza,update
Aquifoliaceae,Aquifoliaceae,update
Aquilegia,Aquilegia,update
Aquilegia type,Aquilegia type,update
Arabidopsis,Arabidopsis,update
Arabis,Arabis,update
Araceae,Araceae,update
Araceae undiff.,Araceae,update
Aralia,Aralia,update
Araliaceae,Araliaceae,update
Araliaceae undiff.,Araliaceae,update
Arbutus,Arbutus,update
ARBUTUS,Arbutus,update
Arbutus type,Arbutus type,update
Arbutus unedo,Arbutus unedo,update
Arbutus-type,Arbutus type,update
Arceuthobium,Arceuthobium,update
Arceuthobium oxycedri,Arceuthobium oxycedri,update
Arceuthobium type,Arceuthobium type,update
Arctium,Arctium,update
Arctium type,Arctium type,update
Arctium/Jurinea,Arctium/Jurinea,update
Arctostaphyllos,Arctostaphylos,update
Arctostaphylos,Arctostaphylos,update
Arctostaphylos alpinus,Arctostaphylos alpinus,update
